PM2.5,PM10,NO2,NH3,SO2,CO,OZONE
55,62,36,3,12,43,44
214,133,50,6,7,65,46
76,69,19,NA,NA,15,NA
155,111,25,9,12,81,35
146,108,62,5,12,84,33
86,82,48,3,6,80,24
114,85,62,18,9,34,29
NA,NA,10,NA,10,27,NA
62,98,20,7,19,39,31
130,100,13,6,8,26,16
175,164,54,NA,3,NA,NA
12,54,NA,NA,22,18,NA
NA,NA,NA,NA,NA,48,63
190,125,32,6,3,73,59
177,130,63,6,5,36,71
87,67,19,NA,NA,14,NA
91,77,22,9,7,48,26
111,86,69,4,9,26,39
153,130,58,4,7,49,44
147,111,58,16,7,20,52
83,117,22,7,18,26,34
137,106,19,5,8,20,18
65,103,57,NA,3,NA,NA
15,75,NA,NA,20,8,NA
164,117,41,3,56,55,81
148,99,32,5,4,41,72
100,95,51,5,10,28,67
168,111,19,NA,NA,14,NA
69,67,20,8,9,40,46
85,93,80,4,14,25,41
175,168,68,4,7,42,39
265,215,80,15,25,39,43
NA,NA,10,NA,10,25,NA
58,93,21,6,17,36,21
80,89,20,4,13,15,15
104,106,58,NA,3,NA,NA
29,156,NA,NA,21,26,NA
NA,NA,NA,NA,NA,54,79
95,88,30,4,4,31,60
100,95,51,4,12,33,75
167,111,19,NA,NA,14,NA
66,65,20,8,8,29,52
82,91,78,4,14,23,42
172,168,68,4,7,47,50
265,219,86,16,25,34,51
NA,NA,10,NA,10,24,NA
58,96,22,6,18,26,26
76,87,20,4,13,15,17
112,108,59,NA,3,NA,NA
26,153,NA,NA,22,25,NA
NA,NA,NA,NA,NA,51,73
94,91,29,4,6,31,80
82,92,58,4,16,70,38
126,94,19,NA,NA,14,NA
61,61,21,8,8,31,36
82,97,78,4,15,66,40
164,155,67,3,7,78,26
216,178,90,15,24,55,33
NA,NA,11,NA,10,23,NA
66,114,28,6,22,53,22
70,87,22,4,21,21,14
95,114,56,NA,3,NA,NA
21,134,NA,NA,22,14,NA
NA,NA,NA,NA,NA,48,26
103,98,26,4,7,76,47
80,92,60,4,16,76,29
115,90,19,NA,NA,15,NA
59,60,22,8,8,31,36
85,100,79,4,16,72,40
149,143,68,3,7,82,20
215,177,91,15,24,64,28
NA,NA,11,NA,10,23,NA
70,119,29,6,22,60,21
64,85,21,4,23,22,13
89,114,56,NA,3,NA,NA
21,112,NA,NA,22,13,NA
237,238,80,3,70,49,20
103,99,26,4,7,86,38
106,112,68,4,25,40,59
68,65,19,NA,NA,15,NA
54,67,22,8,6,24,76
90,107,80,5,13,28,42
133,144,69,3,12,32,34
122,121,90,15,11,25,46
NA,NA,17,NA,10,25,NA
98,151,38,7,21,44,23
67,95,23,4,40,24,19
120,130,58,NA,4,NA,NA
12,103,NA,NA,22,11,NA
NA,NA,NA,NA,NA,NA,NA
139,124,26,4,8,65,42
107,112,67,4,26,41,64
68,65,19,NA,NA,15,NA
56,70,22,8,6,25,79
92,109,80,5,13,29,42
134,144,68,3,12,32,41
121,121,89,15,11,26,50
NA,NA,17,NA,10,25,NA
98,153,38,7,21,48,23
69,96,23,4,40,23,20
115,128,58,NA,4,NA,NA
12,105,NA,NA,22,12,NA
NA,NA,NA,NA,NA,NA,NA
141,125,26,4,8,62,51
100,98,19,3,8,37,38
136,73,11,6,4,28,14
61,78,9,4,12,18,NA
146,188,27,8,3,60,14
96,92,31,NA,17,101,69
169,107,1,3,11,33,15
250,173,64,8,9,59,26
216,133,57,2,13,33,144
241,168,69,5,6,26,104
213,124,22,3,8,45,83
186,163,103,5,14,35,73
228,137,33,4,7,47,77
244,151,56,2,6,47,73
240,131,62,3,8,33,103
84,82,NA,NA,16,98,14
87,78,6,1,3,38,50
NA,41,NA,NA,54,94,NA
240,139,54,3,20,56,103
NA,NA,NA,NA,NA,63,8
114,99,31,NA,80,81,46
78,115,43,NA,18,83,30
NA,76,56,5,30,29,58
74,90,18,3,2,21,56
105,82,19,8,4,8,17
67,80,9,4,12,15,NA
166,194,27,12,4,54,8
NA,NA,37,NA,5,107,35
146,120,2,3,12,34,16
232,166,56,9,10,42,29
214,139,60,2,11,34,160
232,166,71,5,7,20,93
198,128,23,4,9,43,60
180,169,95,4,16,20,83
206,131,32,4,8,49,NA
228,157,66,2,6,39,60
215,134,63,3,13,21,97
84,76,38,3,12,10,NA
100,86,9,1,10,35,66
NA,41,NA,NA,54,96,NA
234,142,59,3,20,40,74
188,130,26,NA,68,79,43
73,110,43,NA,18,98,36
NA,82,59,4,54,16,41
63,89,19,3,5,36,47
50,47,10,6,4,14,16
51,76,9,4,11,16,NA
94,160,22,10,6,51,25
NA,NA,41,NA,7,108,18
99,NA,2,4,12,33,36
152,138,47,7,13,44,21
136,111,50,3,15,32,65
144,147,66,5,11,20,73
125,112,22,5,10,45,52
